Questions,Réponses
Offrez-vous une garantie sur vos produits ?,"Oui, tous nos produits sont couverts par une garantie d'un an."
Comment puis-je contacter le service client ?,Vous pouvez contacter le service client par téléphone ou par e-mail.
Quels types de produits proposez-vous ?,"Nous proposons des produits alimentaires, électroniques, et des accessoires ménagers."
Puis-je retourner un produit si je ne suis pas satisfait ?,"Oui, les retours sont possibles sous 14 jours, à condition que le produit soit dans son état d'origine."
Quels sont vos horaires d'ouverture ?,Nos horaires d'ouverture sont de 8h à 18h en semaine.
Y a-t-il un numéro d'urgence pour le service client ?,"Oui, un numéro d'urgence est disponible : 90 00 00 00."
Quels sont les délais pour les retours produits ?,Les délais pour les retours produits sont généralement de 7 à 10 jours.
Offrez-vous des options de livraison express ?,"Oui, une option de livraison express est disponible pour un coût supplémentaire."
Les prix incluent-ils les taxes ?,"Oui, les prix affichés incluent toutes les taxes applicables."
Puis-je programmer la livraison à une heure précise ?,"Oui, vous pouvez programmer une livraison à une heure précise en contactant le service client."
Quels sont les documents requis pour récupérer une commande ?,Une pièce d'identité est requise pour récupérer une commande en point de retrait.
Acceptez-vous les paiements en espèces à la livraison ?,"Oui, nous acceptons les paiements en espèces à la livraison."
Avez-vous un programme de fidélité ?,"Oui, nous avons un programme de fidélité avec des points cumulables."
Puis-je annuler ma commande si elle n'est pas encore expédiée ?,"Oui, vous pouvez annuler une commande non expédiée en contactant le service client."
Livrez-vous les week-ends ?,"Oui, nous livrons également les week-ends."
Comment calculez-vous les frais de livraison ?,Les frais de livraison sont calculés en fonction de la distance et du poids de votre commande.
Proposez-vous des emballages cadeaux ?,"Oui, nous proposons des emballages cadeaux pour vos commandes."
Que dois-je faire si ma commande est endommagée ?,Veuillez contacter le service client immédiatement si votre commande est endommagée.
Puis-je commander en ligne et récupérer en magasin ?,"Oui, vous pouvez commander en ligne et récupérer votre produit dans notre magasin physique."
Quels sont les délais pour un remboursement ?,Les remboursements sont effectués sous 7 jours après validation de la demande.
Comment puis-je savoir si un produit est en stock ?,Vous pouvez vérifier la disponibilité des produits en ligne ou en contactant le service client.
Acceptez-vous les paiements par mobile money ?,"Oui, nous acceptons les paiements par mobile money via MTN ou Moov."
Quels sont les horaires du service client ?,Le service client est ouvert de 8h à 18h du lundi au vendredi.
Comment puis-je suivre ma commande ?,Vous pouvez suivre votre commande en utilisant le lien de suivi envoyé par e-mail.
Quels modes de paiement acceptez-vous ?,"Nous acceptons les paiements par carte bancaire, mobile money et espèces."
Proposez-vous des réductions pour les commandes en gros ?,"Oui, nous proposons des réductions pour les commandes en gros. Contactez le service client pour plus d'informations."
Quels sont les frais de livraison ?,Les frais de livraison dépendent de votre localisation et du poids de votre commande.
Est-il possible de modifier une commande après l'avoir passée ?,"Oui, vous pouvez modifier votre commande dans les 24 heures suivant son passage."
Livrez-vous dans toute la ville de Cotonou ?,"Oui, nous livrons dans toute la ville de Cotonou et ses environs."
Combien de temps prend la livraison standard ?,La livraison standard prend généralement 1 à 3 jours ouvrés.
Offrez-vous une garantie sur vos produits ?,"Oui, tous nos produits sont couverts par une garantie d'un an."
Comment puis-je contacter le service client ?,Vous pouvez contacter le service client par téléphone ou par e-mail.
Quels types de produits proposez-vous ?,"Nous proposons des produits alimentaires, électroniques, et des accessoires ménagers."
Puis-je retourner un produit si je ne suis pas satisfait ?,"Oui, les retours sont possibles sous 14 jours, à condition que le produit soit dans son état d'origine."
Quels sont vos horaires d'ouverture ?,Nos horaires d'ouverture sont de 8h à 18h en semaine.
Y a-t-il un numéro d'urgence pour le service client ?,"Oui, un numéro d'urgence est disponible : 90 00 00 00."
Quels sont les délais pour les retours produits ?,Les délais pour les retours produits sont généralement de 7 à 10 jours.
Offrez-vous des options de livraison express ?,"Oui, une option de livraison express est disponible pour un coût supplémentaire."
Les prix incluent-ils les taxes ?,"Oui, les prix affichés incluent toutes les taxes applicables."
Puis-je programmer la livraison à une heure précise ?,"Oui, vous pouvez programmer une livraison à une heure précise en contactant le service client."
Quels sont les documents requis pour récupérer une commande ?,Une pièce d'identité est requise pour récupérer une commande en point de retrait.
Acceptez-vous les paiements en espèces à la livraison ?,"Oui, nous acceptons les paiements en espèces à la livraison."
Avez-vous un programme de fidélité ?,"Oui, nous avons un programme de fidélité avec des points cumulables."
Puis-je annuler ma commande si elle n'est pas encore expédiée ?,"Oui, vous pouvez annuler une commande non expédiée en contactant le service client."
Livrez-vous les week-ends ?,"Oui, nous livrons également les week-ends."
Comment calculez-vous les frais de livraison ?,Les frais de livraison sont calculés en fonction de la distance et du poids de votre commande.
Proposez-vous des emballages cadeaux ?,"Oui, nous proposons des emballages cadeaux pour vos commandes."
Que dois-je faire si ma commande est endommagée ?,Veuillez contacter le service client immédiatement si votre commande est endommagée.
Puis-je commander en ligne et récupérer en magasin ?,"Oui, vous pouvez commander en ligne et récupérer votre produit dans notre magasin physique."
Quels sont les délais pour un remboursement ?,Les remboursements sont effectués sous 7 jours après validation de la demande.
Comment puis-je savoir si un produit est en stock ?,Vous pouvez vérifier la disponibilité des produits en ligne ou en contactant le service client.
Acceptez-vous les paiements par mobile money ?,"Oui, nous acceptons les paiements par mobile money via MTN ou Moov."
Quels sont les horaires du service client ?,Le service client est ouvert de 8h à 18h du lundi au vendredi.
Comment puis-je suivre ma commande ?,Vous pouvez suivre votre commande en utilisant le lien de suivi envoyé par e-mail.
Quels modes de paiement acceptez-vous ?,"Nous acceptons les paiements par carte bancaire, mobile money et espèces."
Proposez-vous des réductions pour les commandes en gros ?,"Oui, nous proposons des réductions pour les commandes en gros. Contactez le service client pour plus d'informations."
Quels sont les frais de livraison ?,Les frais de livraison dépendent de votre localisation et du poids de votre commande.
Est-il possible de modifier une commande après l'avoir passée ?,"Oui, vous pouvez modifier votre commande dans les 24 heures suivant son passage."
Livrez-vous dans toute la ville de Cotonou ?,"Oui, nous livrons dans toute la ville de Cotonou et ses environs."
Combien de temps prend la livraison standard ?,La livraison standard prend généralement 1 à 3 jours ouvrés.
Offrez-vous une garantie sur vos produits ?,"Oui, tous nos produits sont couverts par une garantie d'un an."
Comment puis-je contacter le service client ?,Vous pouvez contacter le service client par téléphone ou par e-mail.
Quels types de produits proposez-vous ?,"Nous proposons des produits alimentaires, électroniques, et des accessoires ménagers."
Puis-je retourner un produit si je ne suis pas satisfait ?,"Oui, les retours sont possibles sous 14 jours, à condition que le produit soit dans son état d'origine."
Quels sont vos horaires d'ouverture ?,Nos horaires d'ouverture sont de 8h à 18h en semaine.
Y a-t-il un numéro d'urgence pour le service client ?,"Oui, un numéro d'urgence est disponible : 90 00 00 00."
Quels sont les délais pour les retours produits ?,Les délais pour les retours produits sont généralement de 7 à 10 jours.
Offrez-vous des options de livraison express ?,"Oui, une option de livraison express est disponible pour un coût supplémentaire."
Les prix incluent-ils les taxes ?,"Oui, les prix affichés incluent toutes les taxes applicables."
Puis-je programmer la livraison à une heure précise ?,"Oui, vous pouvez programmer une livraison à une heure précise en contactant le service client."
Quels sont les documents requis pour récupérer une commande ?,Une pièce d'identité est requise pour récupérer une commande en point de retrait.
Acceptez-vous les paiements en espèces à la livraison ?,"Oui, nous acceptons les paiements en espèces à la livraison."
Avez-vous un programme de fidélité ?,"Oui, nous avons un programme de fidélité avec des points cumulables."
Puis-je annuler ma commande si elle n'est pas encore expédiée ?,"Oui, vous pouvez annuler une commande non expédiée en contactant le service client."
Livrez-vous les week-ends ?,"Oui, nous livrons également les week-ends."
Comment calculez-vous les frais de livraison ?,Les frais de livraison sont calculés en fonction de la distance et du poids de votre commande.
Proposez-vous des emballages cadeaux ?,"Oui, nous proposons des emballages cadeaux pour vos commandes."
Que dois-je faire si ma commande est endommagée ?,Veuillez contacter le service client immédiatement si votre commande est endommagée.
Puis-je commander en ligne et récupérer en magasin ?,"Oui, vous pouvez commander en ligne et récupérer votre produit dans notre magasin physique."
Quels sont les délais pour un remboursement ?,Les remboursements sont effectués sous 7 jours après validation de la demande.
Comment puis-je savoir si un produit est en stock ?,Vous pouvez vérifier la disponibilité des produits en ligne ou en contactant le service client.
Acceptez-vous les paiements par mobile money ?,"Oui, nous acceptons les paiements par mobile money via MTN ou Moov."
Quels sont les horaires du service client ?,Le service client est ouvert de 8h à 18h du lundi au vendredi.
Comment puis-je suivre ma commande ?,Vous pouvez suivre votre commande en utilisant le lien de suivi envoyé par e-mail.
Quels modes de paiement acceptez-vous ?,"Nous acceptons les paiements par carte bancaire, mobile money et espèces."
Proposez-vous des réductions pour les commandes en gros ?,"Oui, nous proposons des réductions pour les commandes en gros. Contactez le service client pour plus d'informations."
Quels sont les frais de livraison ?,Les frais de livraison dépendent de votre localisation et du poids de votre commande.
Est-il possible de modifier une commande après l'avoir passée ?,"Oui, vous pouvez modifier votre commande dans les 24 heures suivant son passage."
Livrez-vous dans toute la ville de Cotonou ?,"Oui, nous livrons dans toute la ville de Cotonou et ses environs."
Combien de temps prend la livraison standard ?,La livraison standard prend généralement 1 à 3 jours ouvrés.
Offrez-vous une garantie sur vos produits ?,"Oui, tous nos produits sont couverts par une garantie d'un an."
Comment puis-je contacter le service client ?,Vous pouvez contacter le service client par téléphone ou par e-mail.
Quels types de produits proposez-vous ?,"Nous proposons des produits alimentaires, électroniques, et des accessoires ménagers."
Puis-je retourner un produit si je ne suis pas satisfait ?,"Oui, les retours sont possibles sous 14 jours, à condition que le produit soit dans son état d'origine."
Quels sont vos horaires d'ouverture ?,Nos horaires d'ouverture sont de 8h à 18h en semaine.
Y a-t-il un numéro d'urgence pour le service client ?,"Oui, un numéro d'urgence est disponible : 90 00 00 00."
Quels sont les délais pour les retours produits ?,Les délais pour les retours produits sont généralement de 7 à 10 jours.
Offrez-vous des options de livraison express ?,"Oui, une option de livraison express est disponible pour un coût supplémentaire."
Les prix incluent-ils les taxes ?,"Oui, les prix affichés incluent toutes les taxes applicables."
Puis-je programmer la livraison à une heure précise ?,"Oui, vous pouvez programmer une livraison à une heure précise en contactant le service client."
Quels sont les documents requis pour récupérer une commande ?,Une pièce d'identité est requise pour récupérer une commande en point de retrait.
Acceptez-vous les paiements en espèces à la livraison ?,"Oui, nous acceptons les paiements en espèces à la livraison."
Avez-vous un programme de fidélité ?,"Oui, nous avons un programme de fidélité avec des points cumulables."
Puis-je annuler ma commande si elle n'est pas encore expédiée ?,"Oui, vous pouvez annuler une commande non expédiée en contactant le service client."
Livrez-vous les week-ends ?,"Oui, nous livrons également les week-ends."
Comment calculez-vous les frais de livraison ?,Les frais de livraison sont calculés en fonction de la distance et du poids de votre commande.
Proposez-vous des emballages cadeaux ?,"Oui, nous proposons des emballages cadeaux pour vos commandes."
Que dois-je faire si ma commande est endommagée ?,Veuillez contacter le service client immédiatement si votre commande est endommagée.
Puis-je commander en ligne et récupérer en magasin ?,"Oui, vous pouvez commander en ligne et récupérer votre produit dans notre magasin physique."
Quels sont les délais pour un remboursement ?,Les remboursements sont effectués sous 7 jours après validation de la demande.
Comment puis-je savoir si un produit est en stock ?,Vous pouvez vérifier la disponibilité des produits en ligne ou en contactant le service client.
Acceptez-vous les paiements par mobile money ?,"Oui, nous acceptons les paiements par mobile money via MTN ou Moov."
